,Question,1,2,3,4,5
561,"Orthostatic hypotension following right ventricular myocardial infarction corrected with mineralocorticoid therapy.
 Severe hypotension while standing became a problem in a patient after discharge from the hospital following right ventricular myocardial infarction.
 Hemodynamic studies showed that right ventricular systolic function did not maintain adequate left ventricular preload and that the patient did not compensate for cardiac dysfunction by increasing blood volume.
 Volume expansion by mineralocorticoid therapy corrected the orthostatic hypotension and ameliorated symptoms.
 Hypotension eventually resolved and therapy was stopped four months after the myocardial infarction.
",0,0,1,0,0
562,"Elevated plasma noradrenaline concentrations in patients with low-output cardiac failure: dependence on increased noradrenaline secretion rates.
 1.
 Plasma noradrenaline concentrations are elevated in patients with congestive heart failure; however, the pathogenesis of these elevated noradrenaline levels is controversial.
 2.
 Possible mechanisms for elevated noradrenaline concentrations in patients with congestive heart failure include increased noradrenaline secretion, decreased clearance of noradrenaline, and a combination of increased secretion and decreased clearance.
 3.
 In the present study, plasma noradrenaline clearance and apparent secretion rates were determined using a whole-body steady-state radionuclide tracer method in six otherwise healthy patients with moderate degrees of low-output cardiac failure and in six normal control subjects.
 4.
 The venous plasma noradrenaline level was elevated in the patients with congestive heart failure as compared with the control subjects (4.18 +/- 1.34 versus 1.54 +/- 0.16 nmol/l, P less than 0.05).
 There was no stimulation of the adrenal medulla as evident by normal plasma adrenaline levels in both groups (0.19 +/- 0.04 versus 0.18 +/- 0.02 nmol/l, not significant).
 The apparent secretion rate of noradrenaline was elevated in the patients with congestive heart failure (4.75 +/- 1.95 versus 1.78 +/- 0.18 nmol min-1 m-2, P less than 0.05), whereas the clearance rate of noradrenaline was similar in the two groups (1.26 +/- 0.27 versus 1.16 +/- 0.02 l min-1 m-2, not significant).
 5.
 We conclude that the high peripheral venous plasma noradrenaline concentrations in patients with mildly decompensated low-output cardiac failure are initially due to increased secretion, rather than to decreased metabolic clearance, perhaps in response to diminished effective arterial blood volume.
",0,0,1,0,0
563,"The epidemiology of cancer among Hispanic women. The experience in Florida.
 To explore cancer incidence among Hispanic women living in Dade County, Florida, data were analyzed from the statewide cancer registry.
 For all but three sites, Hispanics had lower rates of the 15 most prevalent cancers than non-Hispanics.
 However, higher rates of cancer among Hispanics were noted for cancers of the gallbladder, liver, and heart and soft tissue.
 Subgroups of women had significantly higher rates of cervical cancer and thyroid cancer.
 Lower rates among Hispanics were observed for cancers of the esophagus, vagina, breast, colon, buccal cavity and pharynx, and malignant melanoma.
 These data suggest that most cancer sites traditionally higher among US Latino women were not higher among Dade Hispanics, and that sites more common among non-Hispanics have not yet shown an increased incidence among Hispanic women in Dade County.
",1,0,0,0,0
564,"Human tumor fluorouracil trapping: clinical correlations of in vivo 19F nuclear magnetic resonance spectroscopy pharmacokinetics.
 We previously reported that fluorouracil (5FU) accumulation and metabolism in human livers and tumors can be studied by in vivo nuclear magnetic resonance spectroscopy (NMRS).
 We have extended these observations by evaluating the pharmacokinetics of 5FU in the tumors of 11 patients with carcinoma of the breast, colon, endometrium, cervix, and kidney, using 19F-NMRS in a 1.5 Magnetom (Siemens Medical Systems, Cerrito, CA) magnetic resonance imaging unit (MRI).
 These NMRS measurements detected a long-lived tumor pool of 5FU in six of 11 tumors in our patients including carcinomas in the pelvis, breast, lung, and liver.
 The half-life (T1/2) of this tumor pool of ""trapped"" 5FU was 0.33 to 1.3 hours (20 to 78 minutes), much longer than the T1/2 of 5FU in blood (5 to 15 minutes).
 Neither the anabolites of 5FU (fluorinated nucleosides, nucleotides, 5FU-RNA, or 5FU-thymidylate synthase) nor the catabolites (eg, fluorobetaalanine [FBAL]) were detectable by 19F NMRS.
 Patient response to chemotherapy appeared to correlate with the extent of trapping of free 5FU in the human tumors: in the seven patients receiving 5FU, or 5FU or FUdR plus leucovorin, four of four patients whose tumors trapped 5FU responded to fluorinated pyrimidine chemotherapy, whereas three patients in whom there was a failure to detect tumor trapping were resistant to 5FU.
 We conclude that NMRS is clinically feasible, and enables investigators to study 5FU pharmacokinetics and metabolism in tumors in vivo.
 19F-NMRS of 5FU allows for in vivo evaluation of 5FU metabolic modulation and might be able to guide therapeutic decisions.
",1,0,0,0,0
565,"Impact of a public cholesterol screening program.
 The National Cholesterol Education Program (NCEP) has endorsed physician case finding as the primary method to detect individuals with elevated cholesterol levels.
 Despite this recommendation, promotional and for-profit public screening programs have flourished.
 We surveyed participants of a mall-based cholesterol screening program 1 year after their screening.
 Sixty-four percent of those screened had not previously known their cholesterol levels.
 Those who were newly screened were less likely to benefit from this testing than the general public, since they were older (mean age, 55.3 years), more likely to be female (67.4%), and nonsmokers (88%).
 Screenees had excellent recall of their cholesterol level (mean absolute reporting error, 0.24 mmol/L [9 mg/dL]) and a good understanding of cholesterol as a coronary heart disease risk.
 Those with elevated cholesterol levels reported high distress from screening but no reduction in overall psychosocial well-being and an actual decrease in absenteeism.
 Only 53.7% of all who were advised to seek follow-up because of an elevated screening value had done so within the year following the screening program.
 However, of those with values greater than 6.2 mmol/L (240 mg/dL), 68% had sought follow-up.
 Many of those who participate in public screening programs have been previously tested, fall into low-benefit groups, or fail to comply with recommended follow-up.
 We therefore conclude that cholesterol screening programs of the type now commonly offered are unlikely to contribute greatly to the national efforts to further reduce coronary heart disease.
",0,0,1,0,0
566,"Effect of indomethacin on pain relief after thoracotomy.
 The effect of indomethacin on postoperative pain was studied in 60 adult patients undergoing thoracotomy in a prospective, randomized, double-blind manner.
 Patients receiving indomethacin required significantly less opioid after operation and had significantly lower pain scores compared with the control group.
 Pain on movement and on coughing were reduced also.
 No major adverse effects were encountered.
",0,0,0,0,1
567,"Depression in dementia of the Alzheimer type and in multi-infarct dementia.
 The authors used the Hamilton Rating Scale for Depression and a rating of depressed mood to investigate the prevalence of depression in 55 patients with Alzheimer's disease, 37 patients with multi-infarct dementia, and 30 nondemented comparison subjects.
 The prevalence of depressed mood depended on the severity of dementia as measured by the Mini-Mental State examination and was significantly lower among patients in more severe stages of Alzheimer's disease but not among patients with severe multi-infarct dementia.
",0,1,0,0,0
568,"Tension pneumopericardium as a complication of single-lung transplantation.
 Tension pneumopericardium is distinctly uncommon in the adult population.
 We present a case of tension pneumopericardium as a complication of lung transplantation in a 54-year-old woman with thromboembolic pulmonary hypertension who underwent single-lung transplantation.
",0,0,1,0,0
569,"Race, nutritional status, and survival from breast cancer.
 The effects of nutritional status on differences in the survival of black and white women with breast cancer were studied in a cohort of 1,960 Georgia women diagnosed during 1975-1979.
 After data were adjusted for stage of disease, socioeconomic status, and other prognostic factors, poorer survival rates were shown in black women.
 Within each stage classification, lower levels of serum albumin and hemoglobin and higher relative body weight were more common among blacks and were independently associated with poorer survival.
 Among women with stage 3 disease, adjustment for these variables substantially reduced the excess mortality rate among blacks, suggesting that racial differences in survival may be partly explained by differences in nutritional status or extent of disease within stage.
",1,0,0,0,0
570,"Endotracheal tube cuff pressure assessment: pitfalls of finger estimation and need for objective measurement.
 Estimation of endotracheal (ET) cuff pressure by finger palpation is one of the methods currently used in the clinical setting.
 We compared the accuracy of this method with instrumental intracuff pressure measurement in tracheal model tests by 20 members of our ICU team.
 Four different ET tubes at three different pressure levels were examined.
 Accuracy for the estimated method by finger palpation was 69% for high pressures, 58% for normal pressures, and 73% for low pressures.
 We observed differences in terms of sensitivity, specificity, and positive predictive power between different tubes reflecting differences in tube characteristics and interobserver variability.
 We conclude that precise intracuff pressure measurement is mandatory to prevent complications of over- or underinflation.
",0,0,0,1,0
571,"Molecular characterization of inherited medium-chain acyl-CoA dehydrogenase deficiency.
 Deficiency of medium-chain acyl-CoA dehydrogenase (MCAD) is a common inherited defect in energy metabolism.
 Characterization of the mRNA encoding MCAD in a Dutch MCAD-deficient patient revealed an A----G change at nucleotide position 985 of the MCAD mRNA coding region.
 This point mutation results in the substitution of a glutamic acid for a lysine at amino acid position 304 of the mature protein.
 The single base change was not found in any wild-type MCAD mRNAs.
 A mutant allele-specific oligonucleotide probe was used in a hybridization analysis of amplified genomic DNA of MCAD-deficient family members, a carrier, and normal individuals.
 The hybridization analysis specifically identified individuals who were heterozygotes or homozygotes.
 In addition to the point mutation, a significant proportion of the index patient's MCAD mRNA contained a variety of deletions and insertions as a result of exon skipping and intron retention.
 The missplicing occurred in multiple regions throughout the MCAD mRNA.
 Analysis of the patient's MCAD gene in the regions where the missplicing occurred most frequently did not reveal a mutation in the splicing acceptor or donor sites.
 Therefore, the molecular characterization of this family revealed a crucial point mutation in the MCAD gene and an unusual abnormality in MCAD pre-mRNA splicing.
",0,0,0,0,1
572,"Early and late tamponade with the Novacor left ventricular assist system.
 Cardiac tamponade can be a major complication after implantation of the Novacor left ventricular assist system (LVAS).
 Between 1987 and 1989, 14 patients received an LVAS as a bridge to cardiac transplantation: 3 developed early tamponade (33 +/- 12 hr postoperatively) and 5 were diagnosed with a late tamponade (9.4 +/- 3.2 days postoperatively).
 One patient had both early and late tamponade.
 Early tamponade was more common in those with increased perioperative blood loss (5,270 +/- 1,942 ml vs.
 1,420 +/- 1,160 ml in other patients, p less than 0.05).
 Early tamponade was suggested by reduction in mean arterial pressure (74 +/- 1 to 64 +/- 3 mmHg), LVAS output (5 +/- 0.5 to 2.7 +/- 0.7 L/min), LVAS stroke volume (55 +/- 4 to 23 +/- 5 ml), and an increase in central venous pressure (13 +/- 1 to 21 +/- 1 mmHg, p less than 0.05 for all values).
 Late tamponade was associated with a marked rise in central venous pressure (14 +/- 1 to 22 +/- 2 mmHg, p less than 0.05), with only a mild decrease in LVAS output (4.9 +/- 1 to 3.8 +/- 0.9 L/min) and stroke volume (49 +/- 8 to 36 +/- 3 ml), without a significant change in mean arterial pressure.
 Two of these five late episodes occurred in patients who were anticoagulated with heparin (PTT 52 and 100 sec), and in one other with warfarin (PT 27 sec, PTT 55 sec); two patients were not on any anticoagulants.
 Surgical drainage of pericardial effusions, and especially of clotted blood found frequently posterior to the left ventricle in the space created by the LVAS decompressed left ventricle, resulted in an immediate return of all hemodynamic measurements to normal in both early and late tamponade.
",0,0,1,0,0
573,"Trends in conserving treatment of invasive carcinoma of the breast in females.
 This population-based study presents trends in the treatment of node-negative invasive carcinoma of the breast in females during the 1980s in the Detroit metropolitan area.
 It was done to determine whether or not there has been a significant shift toward conservation of the breast from 1980 to 1987.
 Trend analyses of surgical treatment, tumor size, node status, year of diagnosis, age and race were performed for 13,217 patients drawn from the Metropolitan Detroit Cancer Surveillance System.
 A significant increase in the use of conserving the breast was observed, with younger women receiving this treatment option more often than older women.
 Implications for a continuing shift in the biologic findings and treatment of carcinoma of the breast are discussed.
",1,0,0,0,0
574,"Multiple-pulse stimulation and dantrolene in malignant hyperthermia.
 A potentially fatal condition, yet preventable, malignant hyperthermia (MH) lacks a satisfactory noninvasive diagnostic test.
 Studying the effects of intravenous dantrolene (3 mg/kg) on electrically stimulated skeletal muscle, we found that this approach does not conclusively distinguish between normal humans and those susceptible to malignant hyperthermia but nonetheless yielded important information about the action of dantrolene in man and in MH.
 Supramaximal single- and multiple-pulse stimulation of the common peroneal nerve produced stable torque responses of the dorsiflexor muscles (monitored in vivo), which dantrolene suppressed.
 With the multiple-pulse stimulation (5-6 pulses) this torque suppression was significantly less in MH-susceptible subjects than in control subjects.
 This distinction, also observed in MH swine, confirms this animal as a good model for human MH.
 That dantrolene's effect in MH can be more completely reversed with high frequency stimulation is intriguing; presumably, excitation-contraction coupling differs in MH and normal muscle.
",0,0,0,0,1
575,"Reversal of colchicine-induced mitotic arrest in Chinese hamster cells with a colchicine-specific monoclonal antibody.
 The ability of a high-affinity colchicine-binding monoclonal antibody to reverse the effects of colchicine on Chinese hamster ovary cells was investigated.
 Using flow cytometry, a complete mitotic blockade was demonstrated after 16 hours with 2.5 x 10(-7) mol/l (molar) colchicine.
 Colchicine-induced changes were reversible when equimolar antibody was added simultaneously with or up to 6 hours after colchicine.
 With further delay in addition of antibody, a progressive irreversible increase in mitotic blockade and increase in mean cell size was observed.
 Prolonged colchicine exposure, without antibody reversal, led to polyploidy and structural chromosome breakage.
 Early antibody reversal restored cells to the diploid state, whereas delayed reversal resulted in a time-dependent increase in polyploidy.
 Colchicine-induced polyploidy and chromosomal aberrations may be the basis for both colchicine toxicity and the time-dependent increase in irreversibility of colchicine effects.
",0,0,0,0,1
576,"Proliferation and substrate effects on endothelial cell thrombogenicity.
 The effects of the cellular differentiation status and the adhesive-substrate on endothelial cell function in cell culture were measured with an enzyme based assay of surface thrombogenicity.
 A solid plastic, microporous polymeric, and fibronectin (FN) treated microporous polymeric were used as substrates for growth of endothelial cells.
 The microporous and FN treated synthetic substrates have been shown to aid in the induction of cellular differentiation mechanisms.
 Cells were studied under proliferative and nonproliferative growth conditions.
 The thrombogenicity of the surface created by the endothelial cell monolayers under various experimental conditions was determined using an enzyme based assay of fibrin deposition.
 Actively proliferating cells on the solid plastic substrate produced the most thrombogenic surface, while confluent endothelial cell monolayers grown on FN treated microporous substrate were the least thrombogenic surfaces.
 These data suggest that endothelial cell surface thrombogenicity is under substrate control, and also related to the cellular differentiation status.
 These findings are being used to design a novel approach to the small diameter synthetic vascular graft problem.
",0,0,0,0,1
577,"Reconstruction of patellar tendon rupture after total knee arthroplasty with an extensor mechanism allograft.
 Although patellar tendon rupture after total knee arthroplasty (TKA) is a rare complication, the consistently poor outcome of conventional tendon repair has convinced some to abandon such reconstruction in favor of a prospective protocol using an allograft distal extensor mechanism.
 The graft consists of a quadriceps tendon, a patella with a cemented prosthesis, a patellar tendon, and a tibial tubercle.
 Since December 1985, 13 knees in 12 patients were reconstructed using this method.
 Ten knees were followed for six to 51 months; five of these knees were followed for more than 24 months.
 Knee extension power and improved function were ultimately attained in all cases, although minimal extensor lags were present in three cases.
 Preoperative motion returned in all but one knee.
 Healing of the allograft to the host tissue was attained primarily at all of the tibial junctions.
 Two graft complications occurred, both in the first three months after surgery: one quadriceps junction treated by resuture failed at the one-month mark, and the other graft had to be revised for extensor weakness from rupture of the graft at the patella-patellar tendon junction, which was attributed to surgical damage to the tendon.
 After completion of healing to the host and rehabilitation of the knee joint, no grafts in the series failed during the course of normal daily activities.
 One patient fractured the allograft patella in a severe fall.
 The long-term durability of this construct needs to be studied further.
",0,0,0,0,1
578,"Serologic determinants of survival in patients with squamous cell carcinoma of the head and neck.
 Specific circulating serum proteins may reflect unique properties governing the growth and progression of head and neck cancers.
 One hundred three previously untreated patients with squamous cell carcinoma of the head and neck were prospectively evaluated for serum IgA, IgG, and IgM and C1q-binding macromolecules.
 Immunoglobulins were assessed by the immunoturbidimetric technique.
 C1q-binding macromolecules (C1qBM) were measured utilizing the iodine-125 assay of Zubler et al (J Immunol 1976; 116: 232-5).
 Neither the level of serum immunoglobulins nor C1qBM values were correlated with the primary site, AJC (American Joint Committee on Cancer) stage of disease, or size of primary lesion.
 Likewise, comparison of serum IgA with C1qBM values demonstrated that these laboratory parameters were independent variables (r = 0.15 by Pearson linear regression).
 Univariate statistical analysis, utilizing the Cox proportional hazard model, showed serum IgA and C1qBM values to each contribute significantly to the ability to predict survival in patients with advanced squamous cell carcinoma of the head and neck (p = 0.01 and 0.003, respectively).
 Furthermore, multivariate analysis reveals that both C1qBM and serum IgA levels contribute significantly to the hazards model beyond staging in predicting survival (p less than 0.001).
 Predictive results were most apparent in patients with stage IV disease and related to the probability of both regional and distant metastatic recurrences.
 Conversely, serologic analysis provided no information in patients who were staged early.
 These results support pretreatment multiparametric serologic analysis of patients with squamous cell carcinoma of the head and neck.
",1,0,0,0,0
579,"Development of a soft, pliable, slow heparin release venous graft.
 To prevent their collapse, a certain amount of stiffness is generally required for prosthetic venous grafts, so EPTFE grafts have been used.
 However, the native vein is pliable without any stiffness.
 We developed a soft and pliable graft that can maintain patency of the lumen because of its compliance.
 Fresh porcine ureter was incubated in a ficin solution to remove cell components and noncollagenous proteins.
 One percent protamine sulfate solution was injected into the ureter lumen to impregnate the inner surface.
 The ureter was then crosslinked with a 1% glutaraldehyde solution, dipped into a 1% heparin solution for 5 hours, and rinsed with distilled water.
 This procedure made the ureter very soft and pliable, and also conferred antithrombogenicity to the graft by heparinization.
 The grafts were implanted into the posterior vena cavae of 20 dogs and were removed from 1 to 878 days after implantation.
 Eighteen grafts were patent, but two grafts were occluded at the anastomotic site at 218 and 107 days, respectively.
 As a control experiment, nonheparinized grafts were implanted into 15 dogs; all were occluded with fresh thrombi.
 All the patent grafts kept their original elasticity, which allowed them to heave in unison with the heartbeat, and were similar in appearance to the native vena cava.
 Heparinization was effective in preventing thrombus formation.
 These results indicate that this type of graft is an ideal prosthesis as a venous graft, having physiologic properties such as compliance and antithrombogenicity.
",0,0,0,0,1
580,"Late results with Carpentier-Edwards porcine bioprosthesis.
 From 1977 to 1984, 429 patients underwent aortic valve replacement (AVR), and 339 underwent mitral valve replacement (MVR) with a Carpentier-Edwards bioprosthesis.
 Early mortality for AVR was 4.6% (isolated AVR, 1.9%) and for MVR was 5.3% (isolated MVR, 4.1%).
 Follow-up was 99.3% complete at a mean of 5.9 years.
 Actuarial event-free rates at 10 years for AVR and MVR were, respectively, 1) for structural valve deterioration, 91.4 +/- 3.2% versus 75.1 +/- 4.0% (p less than 0.01); 2) for nonstructural dysfunction, 100% versus 97.8 +/- 1.6% (p = NS); 3) for thromboembolism, 90.6 +/- 2.3% versus 87.3 +/- 2.6% (p = NS); 4) for anticoagulant-related bleeding, 95.3 +/- 1.1% versus 88.6 +/- 2.4% (p = 0.05); 5) for endocarditis, 87.8 +/- 5.7% versus 90.6 +/- 2.4% (p = NS); 6) for reoperation, 91.0 +/- 2.5% versus 74.4 +/- 3.7% (p less than 0.01); 7) for valve-related mortality, 76.1 +/- 6.9% versus 71.4 +/- 5.2% (p = 0.01); 8) for permanent physical impairment, 85.0 +/- 3.0% versus 71.5 +/- 3.6% (p less than 0.01); and 9) for combined operative mortality, valve-related mortality, and reoperation, 68.7 +/- 6.4% versus 51.5 +/- 4.9% (p = 0.01).
 No structural valve dysfunction was observed in any AVR patient whose valve was inserted after age 70.
 Age at operation was the only factor that predicted structural valve deterioration (p less than 0.01).
",0,0,0,0,1
581,"Detection of primary colorectal cancer with indium 111 monoclonal antibody B72.3.
 B72.3 is a murine monoclonal antibody of the immunoglobulin subclass IgG1 directed against TAG-72, a cell surface antigen present on colorectal carcinoma cells.
 We investigated the utility of scanning with indium 111-labeled B72.3 in 16 patients with a high clinical suspicion of or biopsy-proven primary colorectal cancer.
 Each patient received 1 or 2 mg of B72.3 monoclonal antibody labeled with 152 MBq of indium 111.
 Patients underwent scanning 2 to 3 days and 7 days after infusion by planar and emission computed tomography.
 Nineteen lesions were confirmed in 12 patients.
 Three patients with benign polyps had true-negative monoclonal antibody scans.
 Indium 111-labeled imaging of B72.3 detected nine of 19 lesions.
 Unsuspected tumor sites were identified by monoclonal antibody scan in three patients.
 By detection of additional abdominal disease and extra-abdominal spread, indium 111-labeled scanning of B72.3 directly affected treatment in 18% of patients.
",1,0,0,0,0
582,"Repair of transposition of the great arteries with intact ventricular septum and left ventricular outflow tract obstruction.
 Repair of transposition of the great arteries in patients with intact ventricular septum and fixed left ventricular outflow tract obstruction has been restricted to atrial baffle procedures, with or without attempts to relieve or bypass the left ventricular outflow obstruction.
 However, the suboptimal results of these procedures, coupled with excellent functional results with the arterial switch operation in patients without obstruction, has made anatomic correction the goal in repairing these anomalies.
 We report a technique for the anatomic correction of transposition of the great arteries, intact ventricular septum, and fixed left ventricular outflow tract obstruction.
 Its consideration in these difficult cases is advocated.
",0,0,1,0,0
583,"Assessing nutritional needs for the burned patient.
 Assessment of nutritional needs following thermal injury remains an important adjunct to providing dietary therapy designed to minimize the detrimental effects of hypermetabolism and subsequent catabolism.
 Most anthropometric measurements, frequently utilized in nonburned patients, have relatively little usefulness in assessing burned individuals.
 Energy expenditure can be adequately estimated for most patients by direct calorimetry, indirect calorimetry, or formulae.
 Direct calorimetry is the most expensive and complicated method, while use of a formula is the most inexpensive and least complicated.
 All yield good results in the clinical setting.
 Differences in estimated energy expenditure by the multiple formulae may be statistically significant, but rarely are clinically significant.
 Therefore selection of a formula should be based on simplicity.
 Estimations by formula require readjustment at intervals of 1 to 2 weeks.
 In general, enteral feedings remain superior to parenteral delivery of nutrients.
 Finally, current animal research suggests significant differences in metabolic and immunologic effects of the diet depending on qualitative make-up of dietary fat sources.
",0,0,0,1,0
584,"Selection of therapy for stage III breast cancer.
 Locally advanced breast cancer is a heterogenous group including both operable and inoperable lesions.
 Local surgery or radiation alone produces poor survival rates, indicating micrometastases at diagnosis.
 Systemic chemotherapy as part of multimodality regimens has increased the length and rate of disease-free survival.
",1,0,0,0,0
585,"Plasma norepinephrine in chronic schizophrenia.
 Several lines of evidence indicate altered noradrenergic function in schizophrenia.
 The authors examined resting, standing, and change (standing minus resting) in plasma norepinephrine levels in 14 drug-free patients with chronic schizophrenia or schizoaffective disorder and in 33 age- and sex-matched healthy volunteers.
 Schizophrenic patients had significantly higher resting and standing plasma norepinephrine levels and significantly greater change.
 Resting and standing levels were significantly related to positive and negative symptoms.
 There was a significant positive correlation between resting plasma and CSF norepinephrine levels and a significant negative correlation between CSF homovanillic acid and resting, standing, and change in plasma norepinephrine levels.
",0,0,0,0,1
586,"Local recurrence after curative resection of colorectal adenocarcinoma.
 A total of 853 patients with 861 colorectal adenocarcinomas were operated on at our institution between 1965 and 1981.
 Complete follow-up information was obtained in all but six patients (99.4%), and all available histologic slides were reviewed to determine pathologic stage and characteristics.
 Six hundred fifty-one patients (76.3%) underwent a potentially curative procedure, and their operative mortality rate was 2.8%.
 Of the 627 patients available for analysis, 50 (8%) had a local recurrence.
 The median time to local recurrence was 18 months, and only 16% of local recurrences were diagnosed 5 years after the original resection.
 Median survival of patients with a local recurrence was 3 1/2 years from the original resection, and 16 patients (32%) survived 5 years or longer.
 A multivariate logistic regression analysis was conducted to examine the influence of several clinical and pathologic characteristics on local recurrence among Dukes' stages B and C adenocarcinomas (n = 539) after exclusion of patients with synchronous tumors (n = 8), postoperative deaths (n = 18), loss to follow-up (n = 6), or incomplete data (n = 11).
 This analysis revealed that the local recurrence rate was significantly related to depth of invasion (B1 + C1 = 0%; B2 + C1 = 10%; p less than 0.01), site of origin (right plus transverse colon = 6%; left plus rectosigmoid colon = 10%; rectum = 12%; p less than 0.05), and lymphatic or capillary microinvasion (absent, 6%; present, 14%; p less than 0.05).
 This analysis attempts to identify patients at high risk for development of local recurrent disease to select candidates for postoperative adjuvant therapy.
",1,0,0,0,0
587,"Simulated left ventricular aneurysm and aneurysm repair in swine.
 Patch reconstruction of left ventricular aneurysm may be superior to linear closure, but this hypothesis has not been tested experimentally.
 Accordingly, six anesthetized domestic pigs were instrumented to measure regional left ventricular wall thickening, stroke volume, systolic left ventricular pressure, and myocardial oxygen consumption.
 With total bypass and cardioplegia, a 6 by 8 cm Dacron patch was inserted into the anteroapical left ventricle.
 Simulations were as follows: left ventricular aneurysm, patch open; patch reconstruction, 50% patch plication; standard repair, ventriculotomy edges approximated.
 Global function, from stroke work (stroke volume x integral of left ventricular pressure)-left ventricular end-diastolic pressure curves, was depressed in all three simulations compared with control.
 A tendency for stroke work to be greater for standard repair than for left ventricular aneurysm and patch reconstruction at higher preloads was not statistically significant.
 Mechanical efficiency, from stroke work/myocardial oxygen consumption (joules per milliliter oxygen per beat), was 2.43 +/- 0.52 (mean +/- standard error of the mean) (control), 2.22 +/- 0.94 (standard repair), 1.27 +/- 0.39 (patch reconstruction), and 1.09 +/- 0.37 (left ventricular aneurysm) (no significant differences).
 Regional work was calculated as regional left ventricular wall thickening x integral of left ventricular pressure.
 The slope of the regional work-end-diastolic wall thickness relation decreased in the posterior wall 14.0 +/- 2.9 (control) versus 8.4 +/- 2.0 (left ventricular aneurysm), 6.9 +/- 1.4 (patch reconstruction), and 7.4 +/- 1.4 (standard repair) (p less than 0.05).
 In the anterior wall, contractility did not change significantly (7.4 +/- 1.2, control; 7.8 +/- 2.7, left ventricular aneurysm; 5.0 +/- 0.4, patch reconstruction; and 5.3 +/- 0.4, standard repair).
 Decreased end-diastolic wall thinning anteriorly suggested tethering.
 These results in the normal left ventricle suggest that patch ventriculoplasty is of no greater benefit than linear repair.
 Either repair may impede function of adjacent myocardium through restriction of regional diastolic lengthening.
",0,0,1,0,0
588,"""Cloggology"" revisited: endoscopic or surgical decompression of malignant biliary obstruction.
 In this study, 50 consecutive patients over age 60 with obstructive jaundice secondary to malignant stricture of the distal common bile duct were identified by endoscopic cholangiography.
 The patients were then randomized to palliative therapy with either endoscopic endoprosthesis or bypass surgery.
 Prospective indices of survival time, complication rates, hospitalization requirements, and quality of life were followed.
 All 25 patients randomized to endoprosthesis were treated by this procedure, whereas only 19 of 25 patients randomized to bypass surgery underwent operative biliary-digestive anastomosis.
 No difference in the above indices were found between the two groups.
 The authors concluded that palliation of obstructive jaundice due to a malignant bile duct stricture with endoscopically placed biliary stent is as effective as operative bypass.
",0,0,0,0,1
589,"Epidermal growth factor regulates the in vitro sensitivity of human ovarian carcinoma cells to cisplatin.
 Cisplatin (DDP) is the most effective drug for the treatment of human ovarian cancer, but the mechanisms that determine sensitivity to the cytotoxic action of DDP are not well understood.
 Treatment of two human ovarian carcinoma cell lines with epidermal growth factor (EGF) simultaneously increased sensitivity to DDP and caused a persistent change in morphology in the absence of any mitogenic effect.
 Sensitization to DDP was shown to be dependent on both EGF concentration and EGF receptor number in C127 mouse fibroblasts expressing the human EGF receptor after transfection with a pBPV plasmid construct containing the human EGF receptor gene under control of the transferrin receptor 3'-inducible regulator.
 Sensitization of human ovarian carcinoma cells to DDP was not blocked by inhibition of protein synthesis.
 EGF did not enhance sensitivity to DDP or alter morphology in DDP-resistant human ovarian carcinoma cells despite the presence of functional EGF receptors on these cells.
 These results showed that elements of the signal transduction pathway activated by EGF determined cellular sensitivity to DDP, and that a DDP-resistant phenotype is associated with a defect in this signal transduction pathway.
",1,0,0,0,0
590,"Changes in the clearance of total and unbound etoposide in patients with liver dysfunction.
 The disposition of total and non-protein-bound etoposide was investigated in 21 cancer patients receiving etoposide and cisplatin combination chemotherapy.
 Etoposide plasma concentrations were determined using a specific high-performance liquid chromatography (HPLC) method, and etoposide plasma protein binding was determined by equilibrium dialysis.
 The patients had a wide range of renal function (creatinine clearance, 32 to 159 mL/min/m2) and hepatic function (total bilirubin range, 0.3 to 21.5 mg/dL; aspartate aminotransferase [AST] range, 14 to 415 IU/L; serum albumin range, 2.7 to 4.1 g/dL).
 The mean etoposide total systemic clearance was not different in 15 patients with total bilirubin less than 1.0 mg/dL versus six patients with total bilirubin 1.1 to 21.5 mg/dL (18.7 +/- 5.9 mL/min/m2 v 26.4 +/- 10.7 mL/min/m2; t-test P = .06), with a trend toward higher total clearance in the patients with abnormal bilirubin values.
 However, the mean clearance of unbound etoposide was significantly lower in patients with increased total bilirubin (220 +/- 90 mL/min/m2 v 135 +/- 61 mL/min/m2; t-test P = .027).
 The fraction of etoposide unbound (fu) in plasma was significantly higher in patients with increased bilirubin (9% +/- 3% v 27% +/- 15%; t-test P = .002), explaining the trend toward higher total clearance in these patients.
 Etoposide clearance (total or unbound) in the 14 patients with measurable hepatic metastases was not different from the clearance in the seven patients without hepatic metastases.
 This study provides an explanation for why patients with increased bilirubin do not have lower total systemic clearance of etoposide, and indicates that such patients have a higher exposure to unbound etoposide.
 The results of ongoing pharmacodynamic studies of total and unbound etoposide in patients with increased bilirubin will determine the clinical relevance of altered etoposide protein binding.
",1,0,0,0,0
